
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1981-1-1,70,59,48,36,35,32,59,44,28,30.39,30.27,30.13,20,20,20,14,9,,0.00,3,,1
1981-1-2,63,52,42,32,31,30,62,45,31,30.47,30.34,30.22,20,20,20,10,7,,0.00,0,,68
1981-1-3,70,54,39,52,41,30,76,63,51,30.24,30.17,30.10,20,17,10,17,4,,0.00,2,,196
1981-1-4,55,46,37,37,29,26,65,52,37,30.42,30.33,30.24,20,19,15,16,12,,0.00,4,,3
1981-1-5,55,47,39,43,35,28,71,63,58,30.34,30.24,30.13,20,12,7,10,7,,0.00,7,Rain,87
1981-1-6,63,56,50,60,50,36,100,85,52,30.19,30.07,30.00,20,6,0,20,5,,0.10,7,Fog-Rain,335
1981-1-7,57,48,39,36,31,30,73,53,35,30.30,30.19,30.12,20,20,20,13,10,,0.00,1,,359
1981-1-8,57,47,37,47,37,30,93,70,46,30.15,30.10,30.01,20,15,7,9,4,,0.20,5,Rain,112
1981-1-9,55,50,46,49,47,46,97,88,77,30.35,30.21,30.13,15,7,2,7,4,,0.01,8,Fog-Rain,32
1981-1-10,55,53,50,48,46,43,86,80,72,30.49,30.42,30.36,20,9,4,12,7,,0.00,8,Fog,21
1981-1-11,55,50,46,45,41,33,80,72,61,30.56,30.48,30.43,20,10,7,18,8,,0.00,8,,1
1981-1-12,48,42,35,31,27,24,68,58,46,30.63,30.51,30.40,15,13,10,17,10,,0.00,6,Fog-Snow,49
1981-1-13,55,44,32,44,36,27,90,75,60,30.38,30.19,30.09,15,10,6,15,6,,0.00,7,Fog-Rain,205
1981-1-14,63,54,44,45,36,28,97,62,29,30.14,30.08,30.01,20,14,1,17,8,28,0.00,2,Fog,324
1981-1-15,60,48,37,32,29,26,76,50,31,30.25,30.18,30.13,20,20,20,12,9,,0.00,1,,355
1981-1-16,52,44,37,31,28,25,68,53,41,30.56,30.39,30.25,20,17,10,16,11,,0.00,7,,29
1981-1-17,43,38,32,25,16,12,49,40,34,30.73,30.64,30.56,20,15,10,21,15,28,0.00,8,,15
1981-1-18,42,40,39,30,19,14,70,43,32,30.64,30.52,30.39,15,14,10,9,8,,0.00,8,Rain,4
1981-1-19,37,36,35,37,34,29,97,89,70,30.36,30.16,29.98,15,6,2,8,6,,1.25,8,Fog-Rain,4
1981-1-20,60,48,37,43,40,37,97,79,47,30.12,29.96,29.91,20,12,3,15,4,23,0.00,5,Fog,326
1981-1-21,55,46,36,41,37,33,97,74,49,30.31,30.23,30.13,20,16,5,20,9,24,0.00,3,Fog,335
1981-1-22,59,47,35,40,34,31,89,67,39,30.33,30.25,30.18,20,20,20,9,4,,0.00,1,,288
1981-1-23,68,52,35,38,33,31,89,57,25,30.18,30.08,29.99,20,20,20,13,3,,0.00,0,,246
1981-1-24,75,58,42,42,36,31,68,48,25,29.99,29.91,29.83,20,20,20,15,7,,0.00,0,,216
1981-1-25,73,58,42,46,42,38,85,58,34,29.91,29.84,29.79,20,20,20,16,8,20,0.00,5,,181
1981-1-26,71,62,53,60,55,50,97,80,57,29.93,29.86,29.79,20,13,5,14,6,,0.00,8,Fog,198
1981-1-27,68,60,51,56,40,34,83,51,30,29.98,29.89,29.83,20,18,10,12,8,,0.00,4,,27
1981-1-28,68,56,44,57,48,35,90,75,50,30.07,30.00,29.95,20,9,2,17,5,21,0.00,6,Fog,150
1981-1-29,75,66,57,59,56,54,90,76,51,30.10,30.01,29.96,15,11,6,17,11,25,0.00,6,Fog,186
1981-1-30,63,53,43,60,39,31,90,66,52,30.37,30.22,30.12,20,12,10,22,12,23,0.00,7,,11
1981-1-31,57,50,43,56,46,34,100,85,68,30.21,29.89,29.72,10,4,0,12,7,,0.05,8,Fog-Rain,63
